Model type,Forecast distance (weeks),Accuracy,Precision,Recall,F1,Brier score,AUC
Logistic,1,0.8688606510565391,0.622568093385214,0.37174721189591076,0.46552225778295026,0.1056196343339803,0.752377468594635
Logistic,2,0.8592233009708737,0.6196808510638298,0.21654275092936803,0.32093663911845727,0.11322989250756488,0.7376876569327594
Logistic,3,0.8441604797258709,0.4,0.028810408921933085,0.05374945817078456,0.11736815588234879,0.7325478151071846
Logistic,4,0.8463735008566533,0.0,0.0,0.0,0.12072891062657302,0.7400891514468542
Logistic,5,0.8463735008566533,0.0,0.0,0.0,0.12109916438443315,0.7430454565692899
Logistic,6,0.8463735008566533,0.0,0.0,0.0,0.11962734046306478,0.7443028783443453
Logistic,7,0.8463735008566533,0.0,0.0,0.0,0.11867205335687468,0.751213132559738
Fully-connected,1,0.8685750999428897,0.619707467282525,0.37407063197026025,0.4665314401622718,0.1049504446966927,0.7533667642440387
Fully-connected,2,0.8611507709880069,0.5973659454374413,0.2950743494423792,0.3950233281493002,0.1126533596856196,0.7415698614163018
Fully-connected,3,0.848443746430611,0.572139303482587,0.05343866171003717,0.09774755631109222,0.11725512540847674,0.7343545407341632
Fully-connected,4,0.8453026841804683,0.4630541871921182,0.04368029739776952,0.07983014861995753,0.11957898258344223,0.7454919261936296
Fully-connected,5,0.8463735008566533,0.0,0.0,0.0,0.12036837694481191,0.7443281976656684
Fully-connected,6,0.8463735008566533,0.0,0.0,0.0,0.11891585075983165,0.7497562917337669
Fully-connected,7,0.8463735008566533,0.0,0.0,0.0,0.11796689726765128,0.7499298427474175
GNN,1,0.8789263278126784,0.7192307692307692,0.3475836431226766,0.468671679197995,0.092452411132723,0.8463759977223585
GNN,2,0.864149057681325,0.6207565470417071,0.29739776951672864,0.4021363493559535,0.10088707680315227,0.8284460772140533
GNN,3,0.8478012564249,0.5362318840579711,0.0687732342007435,0.12191103789126852,0.10971799530561596,0.8013541878314244
GNN,4,0.8450885208452313,0.4521276595744681,0.03949814126394052,0.07264957264957266,0.11550729125198364,0.7811370233069448
GNN,5,0.846302113078241,0.0,0.0,0.0,0.12034061837216085,0.7492705801401202
GNN,6,0.8463735008566533,0.0,0.0,0.0,0.11953973616172732,0.7387984735663149
GNN,7,0.8463735008566533,0.0,0.0,0.0,0.11793864228205495,0.7524925225694707
XGboost,1,0.8710022844089091,0.6305828917486752,0.3870817843866171,0.47970054707745463,0.105625741988134,0.7747853423234954
XGboost,2,0.8605082809822958,0.5946462715105163,0.28903345724907065,0.3889931207004378,0.11552637451612738,0.7534984364731174
XGboost,3,0.8490862364363221,0.5673758865248227,0.07434944237918216,0.1314708299096138,0.12099600514594515,0.7412676757082511
XGboost,4,0.8497287264420331,0.5755627009646302,0.08317843866171004,0.14535119772635,0.12126911011082395,0.7473130556140853
XGboost,5,0.834380354083381,0.19343065693430658,0.02462825278810409,0.04369332234130255,0.12459626846437634,0.7454548878675455
XGboost,6,0.8463735008566533,0.5,0.0009293680297397769,0.0018552875695732839,0.12581174790894667,0.7294576036979066
XGboost,7,0.8361650485436893,0.0,0.0,0.0,0.12784645679812762,0.7172168092701012
